"N_CIENTIFICO";"N_COMUN";"N_30";"AB_30";"VOL_30";"N_40";"AB_40";"VOL_40";"N_50";"AB_50";"VOL_50";"N_60";"AB_60";"VOL_60";"N_70";"AB_70";"VOL_70";"N_80";"AB_80";"VOL_80";"N_90";"AB_90";"VOL_90";"N_100";"AB_100";"VOL_100";"N_T";"AB_T";"VOL_T"
"Apeiba aspera";"PEINE MONO";1;0,0829576809411445;0,452948937938649;2;0,347028178407837;2,21728779223217;;;;;;;1;0,44769658791687;4,88884674005222;2;1,05683176871239;13,4640367333959;;;;;;;6;1,93451421597825;21,0231202036189
"brosimum utile";"SANDE";4;0,334599252408602;2,11965808789646;2;0,354410921016901;2,90262544312842;5;1,20961134676;10,5671647252954;4;1,37368102249128;15,0005967656048;9;3,90132793264927;56,8033346993734;13;7,56888209994879;112,627835096611;4;2,74645883738546;44,9869957563739;1;0,890818231840529;16,2128918194976;42;18,3797896445008;261,221102393781
"brownea herthae";"CLAVELLIN";;;;2;0,339645435798773;3,39985081234572;;;;;;;;;;;;;;;;;;;2;0,339645435798773;3,39985081234572
"Carapa guianensis";"TANGARE";;;;1;0,169822717899387;1,23630938630754;;;;1;0,287475362629949;2,61602579993254;;;;;;;;;;;;;2;0,457298080529336;3,85233518624007
"Cedrela odorata";"CEDRO";;;;1;0,177205460508451;1,29005575250152;;;;1;0,316692174426564;3,45827854473808;1;0,412824909689216;4,50804801380624;;;;;;;;;;3;0,906722544624231;9,25638231104584
"Ceiba pentandra";"CEIBO";;;;;;;;;;;;;;;;;;;1;0,650388219215573;10,6533590307511;;;;1;0,650388219215573;10,6533590307511
"Chrysophyllum amazonicum ";"CAIMITILLO";1;0,0962112750588126;0,525313561821117;1;0,177205460508451;1,29005575250152;2;0,483844538704002;4,84328383242706;2;0,684238879708143;6,84923118587851;1;0,430084034403557;3,91376471307237;2;1,05620345018311;11,5337416759996;;;;;;;9;2,92778763856608;28,9553907217002
"Clarisia racemosa";"MORAL BOBO";1;0,0804247719081013;0,731865424363722;;;;;;;;;;;;;;;;;;;;;;1;0,0804247719081013;0,731865424363722
"Dacryodes spp.";"ANIME";2;0,156215694755247;0,852937693363651;3;0,427472585521854;2,56846169648577;3;0,779488042084618;6,60415632978334;2;0,658811614280635;5,4650835555755;3;1,32583063978377;14,6075764595648;4;2,33801252233031;25,5310967438469;;;;;;;17;5,68583109875643;55,62931247862
"Erythrina poeppigiana";"MAMBLA";;;;;;;1;0,241922269352001;2,20149265110321;2;0,648915597276943;5,90513193522018;1;0,407150408054763;4,44608245595801;;;;;;;;;;4;1,29798827468371;12,5527070422814
"Ficus ssp";"MATAPALO";;;;;;;;;;1;0,297057220364;1,62193242318744;;;;2;1,21642467533003;13,2833574546039;2;1,31510995466914;21,5415010574806;;;;5;2,82859185036317;36,4467909352719
"Genipa americana";"JAGUA";;;;;;;1;0,220618343991657;1,60610154425926;1;0,287475362629949;2,09282063994603;;;;;;;;;;;;;2;0,508093706621606;3,69892218420529
"Humynastrum proserum";"CHANUL";1;0,0779311327661382;0,425503984903114;3;0,483235854828135;3,51795702314882;5;1,27224684979906;10,166675668177;;;;3;1,29131239035509;18,80150840357;1;0,608212337665016;8,85557163640263;2;1,39543655185517;22,8572507193877;1;0,841338147344568;16,8435897098383;16;5,96971326461317;81,4680571454276
"Hyeronima alchorneoides ";"MASCAREY";1;0,0804247719081013;0,731865424363722;3;0,517165055576865;2,82372120344968;3;0,743516806530721;6,76600293942956;2;0,710412273720423;7,75770202902702;1;0,390362522239883;4,97321853333611;3;1,81085327546267;29,6617766520786;1;0,754296396363091;13,7281944138083;;;;14;5,00703110180176;66,4424811954929
"Lomatia hirsuta";"CUCHARILLO";3;0,221796441326561;1,21100856964302;4;0,694056356815675;4,43457558446435;;;;;;;;;;5;2,91215821480519;42,4010236075635;1;0,643260730550905;10,5366107664238;;;;13;4,47127174349833;58,5832185280947
"Minquartia guianensis";"GUAYACAN";;;;;;;1;0,268782886366308;2,44592426593341;1;0,347322702929063;2,52850927732358;;;;;;;;;;;;;2;0,616105589295372;4,97443354325699
"Myroxylon balsamum";"SANDALO";1;0,0730616641432024;0,265944457481257;1;0,169822717899387;0,927232039730651;;;;;;;;;;;;;;;;;;;2;0,242884382042589;1,19317649721191
"Nectandra reticulata";"JIGUA";;;;1;0,159043128062017;1,15783397229148;;;;;;;;;;;;;;;;;;;1;0,159043128062017;1,15783397229148
"Ocotea insularis";"CALADE";1;0,0934820163141187;0,510411809075088;;;;1;0,208307227990412;1,5164766197702;1;0,373928065601475;4,0832944763681;;;;;;;;;;;;;3;0,675717309906005;6,11018290521339
"Otoba spp.";"CUANGARE";1;0,0779311327661382;0,425503984903114;4;0,694174166776165;6,26345296472361;1;0,21237166341733;1,54606570967816;;;;2;0,814340085658856;8,8925937353947;1;0,636172512248067;8,10483780604037;;;;;;;9;2,43498956086656;25,23245420074
"Parinari romeroi";"CUERO DE SAPO";;;;2;0,257649867622467;1,87569103629156;2;0,515083750404868;3,74980970294744;1;0,357847038139538;2,60512643765583;1;0,453645979281634;6,60508545834059;1;0,567450173245344;9,29483383775873;;;;;;;7;2,15167680869385;24,1305464729942
"Persea rigens";"AMARILLO";1;0,0804247719081013;0,439119254618233;1;0,177205460508451;1,29005575250152;1;0,268782886366308;0,978369706373362;1;0,292246656694809;2,65944457592277;1;0,430084034403557;3,91376471307237;;;;;;;;;;5;1,24874380988123;9,28075400248825
"Picus insipida";"HIGUERON";;;;;;;;;;;;;;;;1;0,508957644779369;3,7052116539938;;;;;;;1;0,508957644779369;3,7052116539938
"Platymiscium pinnatum";"CAOBA";1;0,0804247719081013;0,292746169745489;5;0,856496332105998;6,54437064430855;1;0,278050584830718;2,02420825756763;5;1,52526286828807;14,9436699317905;;;;2;1,02433591984046;14,9143309928771;;;;;;;14;3,76457047697335;38,7193259962894
"PORCENTAJE";"PORCENTAJE";14,2857142857143;3,3813586753721;1,87708043191967;19,1836734693878;9,45642961814393;5,72859939266557;15,1020408163265;11,0859980585152;7,64314977704108;11,8367346938776;11,4091216400157;9,14601797502618;13,0612244897959;16,7046536673627;17,7679224207981;19,5918367346939;33,4772982636065;37,9775076373679;6,12244897959184;12,3849915256439;16,5454375112599;0,816326530612245;2,10014855133995;3,31428485392156;100;100;100
"Poulsenia armata";"DAMAGUA";1;0,0829576809411445;1,35884681381595;;;;;;;;;;;;;;;;;;;;;;1;0,0829576809411445;1,35884681381595
"Pseudolmedia eggersii";"GUION";;;;1;0,152053084526254;1,10694645535113;;;;;;;;;;;;;;;;;;;1;0,152053084526254;1,10694645535113
"SP2";"NAGUARE";5;0,397490010478801;3,00272090646555;4;0,701439099424739;4,48832195065833;4;1,01229969289703;8,72274235217628;1;0,292246656694809;3,19133349110732;2;0,825806898648253;12,0237484443186;6;3,48039378579463;50,6745335211698;;;;;;;22;6,70967614393826;82,1034006658959
"TOTAL";"TOTAL";35;2,78887033782525;18,7218894457462;47;7,79945536563688;57,1367122498687;37;9,14348760921642;76,232324789994;29;9,40999283933658;91,2218434998715;32;13,7776312982902;177,216209591285;48;27,6113400207763;378,785419804648;15;10,2148688784944;165,023217252613;2;1,7321563791851;33,0564815293359;245;82,4778027287611;997,394098163363
"trattinnickia aspera";"COPAL";4;0,304636312559715;2,3724875747479;;;;;;;;;;3;1,3377294221433;14,6080052898048;1;0,541060794565498;7,87784516887365;4;2,70991818845503;40,719305508388;;;;12;4,89334471772354;65,5776435418144
"Trichospermum spp.";"PICHANGO";;;;;;;;;;;;;;;;1;0,601320468898829;6,56641952037521;;;;;;;1;0,601320468898829;6,56641952037521
"Virola spp.";"CHALVIANDE";4;0,311999420324614;1,85903823752365;2;0,339645435798773;1,8544640794613;4;0,938138471473333;8,92357651782687;3;0,956379343460927;10,4436624305933;2;0,831599210373197;11,2733362380695;2;1,16238928175178;12,6932909567294;;;;;;;17;4,54015116318262;47,0473684602041
"Vochysia spp. ";"LAGUNO";1;0,0754767635005052;0,412103128712758;4;0,604678046030305;5,94744290798504;2;0,490422248248048;3,57027396724579;;;;1;0,477836242688992;6,95729569355173;1;0,52168109521483;7,59567674632792;;;;;;;9;2,17009439568268;24,4827924438232
"Zanthoxylum riedelianum";"AZAFRAN";1;0,0804247719081013;0,731865424363722;;;;;;;;;;;;;;;;;;;;;;1;0,0804247719081013;0,731865424363722
